k,u_before,v_before,tape_bit,sum,u_after,v_after
80,96493407697763496186309170137401807230733928454148669515268649368455835810863,-96493407697763496186309122246916155171707104755804071068106661282858267573295,1,-192986815395526992372618292384317962402441033209952740583375310651314103384158,96493407697763496186309170137401807230733928454148669515268649368455835810863,-96493407697763496186309146192158981201220516604976370291687655325657051692079
81,96493407697763496186309170137401807230733928454148669515268649368455835810863,-96493407697763496186309146192158981201220516604976370291687655325657051692079,1,192986815395526992372618316329560788431954445059125039806956304694112887502942,96493407697763496186309158164780394215977222529562519903478152347056443751471,-96493407697763496186309146192158981201220516604976370291687655325657051692079
82,96493407697763496186309158164780394215977222529562519903478152347056443751471,-96493407697763496186309146192158981201220516604976370291687655325657051692079,1,-192986815395526992372618304356939375417197739134538890195165807672713495443550,96493407697763496186309158164780394215977222529562519903478152347056443751471,-96493407697763496186309152178469687708598869567269445097582903836356747721775
83,96493407697763496186309158164780394215977222529562519903478152347056443751471,-96493407697763496186309152178469687708598869567269445097582903836356747721775,1,192986815395526992372618310343250081924576092096831965001061056183413191473246,96493407697763496186309155171625040962288046048415982500530528091706595736623,-96493407697763496186309152178469687708598869567269445097582903836356747721775
84,96493407697763496186309155171625040962288046048415982500530528091706595736623,-96493407697763496186309152178469687708598869567269445097582903836356747721775,1,-192986815395526992372618307350094728670886915615685427598113431928063343458398,96493407697763496186309155171625040962288046048415982500530528091706595736623,-96493407697763496186309153675047364335443457807842713799056715964031671729199
85,96493407697763496186309155171625040962288046048415982500530528091706595736623,-96493407697763496186309153675047364335443457807842713799056715964031671729199,1,192986815395526992372618308846672405297731503856258696299587244055738267465822,96493407697763496186309154423336202648865751928129348149793622027869133732911,-96493407697763496186309153675047364335443457807842713799056715964031671729199
86,96493407697763496186309154423336202648865751928129348149793622027869133732911,-96493407697763496186309153675047364335443457807842713799056715964031671729199,1,-192986815395526992372618308098383566984309209735972061948850337991900805462110,96493407697763496186309154423336202648865751928129348149793622027869133732911,-96493407697763496186309154049191783492154604867986030974425168995950402731055
87,96493407697763496186309154423336202648865751928129348149793622027869133732911,-96493407697763496186309154049191783492154604867986030974425168995950402731055,1,192986815395526992372618308472527986141020356796115379124218791023819536463966,96493407697763496186309154236263993070510178398057689562109395511909768231983,-96493407697763496186309154049191783492154604867986030974425168995950402731055
88,96493407697763496186309154236263993070510178398057689562109395511909768231983,-96493407697763496186309154049191783492154604867986030974425168995950402731055,1,-192986815395526992372618308285455776562664783266043720536534564507860170963038,96493407697763496186309154236263993070510178398057689562109395511909768231983,-96493407697763496186309154142727888281332391633021860268267282253930085481519
89,96493407697763496186309154236263993070510178398057689562109395511909768231983,-96493407697763496186309154142727888281332391633021860268267282253930085481519,1,192986815395526992372618308378991881351842570031079549830376677765839853713502,96493407697763496186309154189495940675921285015539774915188338882919926856751,-96493407697763496186309154142727888281332391633021860268267282253930085481519
